,timestamp,vehicle_id,route_id,latitude,longitude
73,2018-12-07 08:01:09.000,MTA NYCT_7356,B82,40.614608,-73.94682
74,2018-12-07 08:01:05.000,MTA NYCT_7355,B6,40.609725,-73.985693
75,2018-12-07 07:59:43.000,MTA NYCT_6009,Q44-SBS,40.801024,-73.829152
76,2018-12-07 08:00:48.000,MTA NYCT_7338,B49,40.578125,-73.940952
77,2018-12-07 08:00:56.000,MTA NYCT_7337,B46,40.700535,-73.941594
78,2018-12-07 08:01:03.000,MTA NYCT_6006,Q44-SBS,40.700615,-73.807511
79,2018-12-07 08:00:40.000,MTA NYCT_376,B70,40.648028,-73.998529
80,2018-12-07 08:00:55.000,MTA NYCT_375,B16,40.629986,-74.010317
81,2018-12-07 07:59:13.000,MTA NYCT_378,B8,40.646655,-73.92439
82,2018-12-07 08:01:10.000,MTA NYCT_379,B11,40.645681,-74.023458
83,2018-12-07 08:00:49.000,MTA NYCT_372,B63,40.682018,-73.97665
84,2018-12-07 08:01:00.000,MTA NYCT_373,B70,40.637802,-74.007127
85,2018-12-07 08:00:58.000,MTA NYCT_370,B67,40.666668,-73.981756
86,2018-12-07 08:00:59.000,MTA NYCT_6012,Q44-SBS,40.839648,-73.877621
87,2018-12-07 08:01:04.000,MTA NYCT_7343,B46,40.694599,-73.93139
88,2018-12-07 08:00:53.000,MTA NYCT_7342,B49,40.607158,-73.952905
89,2018-12-07 08:00:52.000,MTA NYCT_6010,Q44-SBS,40.79116,-73.82376
90,2018-12-07 08:00:18.000,MTA NYCT_7341,B46,40.7063,-73.95181
91,2018-12-07 08:01:01.000,MTA NYCT_7340,B41,40.634251,-73.949166
92,2018-12-07 08:00:59.000,MTA NYCT_6016,Q44-SBS,40.709017,-73.818759
93,2018-12-07 08:01:04.000,MTA NYCT_7347,B6,40.634417,-73.940744
94,2018-12-07 08:00:48.000,MTA NYCT_7345,B41,40.689537,-73.985514
95,2018-12-07 08:01:13.000,MTA NYCT_6014,Q44-SBS,40.842157,-73.876408
96,2018-12-07 08:00:57.000,MTA NYCT_7344,B44,40.694521,-73.952399
97,2018-12-07 08:00:58.000,MTA NYCT_7329,B49,40.639835,-73.954201
98,2018-12-07 08:01:02.000,MTA NYCT_7328,B44,40.6893,-73.955094
99,2018-12-07 08:01:13.000,MTA NYCT_7327,B41,40.619241,-73.933191
100,2018-12-07 08:01:02.000,MTA NYCT_7326,B41,40.620829,-73.934964
101,2018-12-07 08:00:44.000,MTA NYCT_365,B11,40.632418,-73.947255
102,2018-12-07 08:01:08.000,MTA NYCT_367,B67,40.642384,-73.979359
103,2018-12-07 08:00:44.000,MTA NYCT_368,B11,40.625357,-73.959838
104,2018-12-07 08:00:57.000,MTA NYCT_361,B61,40.674907,-73.998392
105,2018-12-07 08:01:08.000,MTA NYCT_362,B68,40.582978,-73.960018
106,2018-12-07 08:00:47.000,MTA NYCT_360,B61,40.67502,-74.00134
107,2018-12-07 08:00:59.000,MTA NYCT_13,M42,40.754328,-73.982878
108,2018-12-07 08:01:14.000,MTA NYCT_7332,B46,40.637281,-73.928841
109,2018-12-07 08:00:53.000,MTA NYCT_7331,B41,40.687256,-73.979787
110,2018-12-07 08:01:06.000,MTA NYCT_6000,Q44-SBS,40.767029,-73.827276
111,2018-12-07 08:01:02.000,MTA NYCT_7336,B46,40.658571,-73.93112
112,2018-12-07 08:00:51.000,MTA NYCT_6005,Q44-SBS,40.705309,-73.793548
113,2018-12-07 08:01:00.000,MTA NYCT_7334,B41,40.642192,-73.957313
114,2018-12-07 08:00:57.000,MTA NYCT_6002,Q44-SBS,40.827962,-73.841027
115,2018-12-07 08:01:13.000,MTA NYCT_7333,B49,40.653779,-73.956161
116,2018-12-07 08:01:09.000,MTA NYCT_7318,B49,40.632678,-73.95768
117,2018-12-07 08:00:46.000,MTA NYCT_7316,B44,40.644376,-73.948875
118,2018-12-07 08:01:02.000,MTA NYCT_353,B9,40.639307,-74.015904
119,2018-12-07 08:00:44.000,MTA NYCT_358,B11,40.629257,-73.980037
120,2018-12-07 08:01:05.000,MTA NYCT_359,B70,40.620102,-74.024725
121,2018-12-07 08:00:46.000,MTA NYCT_357,Bx35,40.825205,-73.890847
122,2018-12-07 08:00:52.000,MTA NYCT_7321,B41,40.619675,-73.915172
123,2018-12-07 08:01:11.000,MTA NYCT_7320,B44,40.667283,-73.947951
124,2018-12-07 08:01:08.000,MTA NYCT_7325,B41,40.653589,-73.959456
125,2018-12-07 08:00:54.000,MTA NYCT_7324,B46,40.612794,-73.92566
126,2018-12-07 08:01:04.000,MTA NYCT_7323,B41,40.608826,-73.921237
127,2018-12-07 08:01:03.000,MTA NYCT_7322,B41,40.63088,-73.945597
128,2018-12-07 08:00:57.000,MTA NYCT_7390,Q16,40.79037,-73.78178
129,2018-12-07 08:00:56.000,MTA NYCT_7394,Q76,40.707938,-73.79572
130,2018-12-07 08:00:44.000,MTA NYCT_6063,M103,40.804906,-73.93661
131,2018-12-07 08:01:07.000,MTA NYCT_7393,Q76,40.724542,-73.764435
132,2018-12-07 08:00:52.000,MTA NYCT_6061,M15,40.80223,-73.933941
133,2018-12-07 08:01:03.000,MTA NYCT_7392,Q16,40.78095,-73.801657
134,2018-12-07 08:00:44.000,MTA NYCT_6067,M15,40.712809,-73.992332
135,2018-12-07 08:01:07.000,MTA NYCT_7397,Q15,40.77045,-73.815753
136,2018-12-07 08:01:08.000,MTA NYCT_7395,Q31,40.725779,-73.791738
137,2018-12-07 08:00:53.000,MTA NYCT_6069,M101,40.8104,-73.95173
138,2018-12-07 08:01:05.000,MTA NYCT_7399,Q16,40.770672,-73.793501
139,2018-12-07 08:00:49.000,MTA NYCT_7383,Q20A,40.768719,-73.826716
140,2018-12-07 08:01:14.000,MTA NYCT_6051,M101,40.84699,-73.931707
141,2018-12-07 08:00:48.000,MTA NYCT_7381,Q32,40.749791,-73.991463
142,2018-12-07 08:00:58.000,MTA NYCT_7386,Q13,40.757719,-73.783098
143,2018-12-07 08:01:10.000,MTA NYCT_6055,M101,40.804094,-73.937613
144,2018-12-07 08:01:00.000,MTA NYCT_7385,Q12,40.760432,-73.804918
145,2018-12-07 08:00:43.000,MTA NYCT_7384,Q15A,40.792974,-73.797883
146,2018-12-07 08:00:52.000,MTA NYCT_6059,M101,40.798804,-73.94148
147,2018-12-07 08:00:58.000,MTA NYCT_6057,M15,40.759947,-73.964837
148,2018-12-07 08:00:57.000,MTA NYCT_6039,M101,40.78956,-73.946141
149,2018-12-07 08:00:51.000,MTA NYCT_6041,M101,40.784246,-73.952111
150,2018-12-07 08:00:55.000,MTA NYCT_6045,M101,40.765681,-73.965658
151,2018-12-07 08:00:43.000,MTA NYCT_7376,Q15A,40.761296,-73.818693
152,2018-12-07 08:00:58.000,MTA NYCT_7375,Q13,40.760713,-73.769592
153,2018-12-07 08:01:12.000,MTA NYCT_7374,Q15,40.774121,-73.815202
154,2018-12-07 08:00:50.000,MTA NYCT_7373,Q26,40.760053,-73.828176
155,2018-12-07 08:01:02.000,MTA NYCT_6049,M102,40.789269,-73.948441
156,2018-12-07 08:00:51.000,MTA NYCT_6047,M103,40.745379,-73.978359
157,2018-12-07 08:01:02.000,MTA NYCT_6029,Q44-SBS,40.838639,-73.877474
158,2018-12-07 08:00:58.000,MTA NYCT_6028,Q44-SBS,40.840559,-73.879779
159,2018-12-07 08:01:12.000,MTA NYCT_398,B8,40.635974,-73.959095
160,2018-12-07 08:01:09.000,MTA NYCT_7361,Q24,40.683861,-73.863639
161,2018-12-07 08:01:07.000,MTA NYCT_395,B69,40.659214,-73.98841
162,2018-12-07 08:01:06.000,MTA NYCT_392,B8,40.655412,-73.907093
163,2018-12-07 08:00:59.000,MTA NYCT_7365,B41,40.666132,-73.964485
164,2018-12-07 08:01:06.000,MTA NYCT_7364,B49,40.67738,-73.954582
165,2018-12-07 08:00:43.000,MTA NYCT_6033,M101,40.769995,-73.962509
166,2018-12-07 08:01:08.000,MTA NYCT_6037,M102,40.787603,-73.947561
167,2018-12-07 08:01:00.000,MTA NYCT_7367,Q20B,40.702042,-73.801561
168,2018-12-07 08:00:59.000,MTA NYCT_6035,M103,40.761983,-73.968365
169,2018-12-07 08:00:41.000,MTA NYCT_307,Bx27,40.81694,-73.865778
170,2018-12-07 08:01:10.000,MTA NYCT_4238,B44,40.608218,-73.94336
171,2018-12-07 08:00:45.000,MTA NYCT_6899,Q46,40.755743,-73.704574
172,2018-12-07 08:01:11.000,MTA NYCT_4235,B44,40.639524,-73.945439
173,2018-12-07 08:01:02.000,MTA NYCT_305,Bx27,40.821569,-73.866878
174,2018-12-07 08:00:55.000,MTA NYCT_4236,B41,40.619716,-73.91456
175,2018-12-07 08:01:10.000,MTA NYCT_6897,Q88,40.717932,-73.736359
176,2018-12-07 08:01:09.000,MTA NYCT_302,Bx36,40.850401,-73.899334
177,2018-12-07 08:01:07.000,MTA NYCT_4241,B49,40.655619,-73.953
178,2018-12-07 08:01:08.000,MTA NYCT_4245,S79-SBS,40.536395,-74.151455
179,2018-12-07 08:01:11.000,MTA NYCT_4242,B44,40.60012,-73.941827
180,2018-12-07 08:00:53.000,MTA NYCT_5557,Bx19,40.848001,-73.883179
181,2018-12-07 08:00:57.000,MTA NYCT_4227,B62,40.690455,-73.989546
182,2018-12-07 08:00:50.000,MTA NYCT_6888,Q27,40.725817,-73.740459
183,2018-12-07 08:01:08.000,MTA NYCT_4224,Bx7,40.889184,-73.908094
184,2018-12-07 08:01:12.000,MTA NYCT_6887,Q46,40.714677,-73.831308
185,2018-12-07 08:01:03.000,MTA NYCT_4225,M100,40.853329,-73.934128
186,2018-12-07 08:01:12.000,MTA NYCT_4228,S44,40.643391,-74.073961
187,2018-12-07 08:01:14.000,MTA NYCT_6890,Q27,40.750824,-73.819347
188,2018-12-07 08:01:11.000,MTA NYCT_6895,Q46,40.743254,-73.719004
189,2018-12-07 08:01:06.000,MTA NYCT_4234,B49,40.613615,-73.954102
190,2018-12-07 08:00:56.000,MTA NYCT_4231,S57,40.639734,-74.132029
191,2018-12-07 08:00:46.000,MTA NYCT_6893,Q83,40.701902,-73.741469
192,2018-12-07 08:00:52.000,MTA NYCT_6878,Q36,40.721249,-73.731384
193,2018-12-07 08:00:59.000,MTA NYCT_4215,Q20B,40.785362,-73.84422
194,2018-12-07 08:00:47.000,MTA NYCT_4216,Q16,40.778389,-73.801454
195,2018-12-07 08:00:55.000,MTA NYCT_6876,Q88,40.740489,-73.789056
196,2018-12-07 08:00:59.000,MTA NYCT_6875,Q46,40.751648,-73.720907
197,2018-12-07 08:01:00.000,MTA NYCT_4214,Q76,40.711697,-73.790272
198,2018-12-07 08:00:50.000,MTA NYCT_4219,Q32,40.762757,-73.967528
199,2018-12-07 08:01:01.000,MTA NYCT_4217,Q48,40.76491,-73.86322
200,2018-12-07 08:01:11.000,MTA NYCT_6880,Q27,40.753743,-73.796239
201,2018-12-07 08:00:44.000,MTA NYCT_6885,Q83,40.70164,-73.748382
202,2018-12-07 08:00:47.000,MTA NYCT_4223,Bx18,40.846463,-73.923802
203,2018-12-07 08:01:07.000,MTA NYCT_4220,Bx3,40.881165,-73.899096
204,2018-12-07 08:00:45.000,MTA NYCT_6882,Q1,40.723938,-73.755292
205,2018-12-07 08:01:02.000,MTA NYCT_4221,B13,40.700792,-73.894422
206,2018-12-07 08:00:53.000,MTA NYCT_5535,Bx41-SBS,40.822176,-73.914912
207,2018-12-07 08:00:58.000,MTA NYCT_6867,Q83,40.70269,-73.740684
208,2018-12-07 08:01:03.000,MTA NYCT_4204,Q13,40.787797,-73.780481
209,2018-12-07 08:00:56.000,MTA NYCT_5536,Bx41-SBS,40.869626,-73.879557
210,2018-12-07 08:00:51.000,MTA NYCT_5533,Bx12-SBS,40.862742,-73.904034
211,2018-12-07 08:01:07.000,MTA NYCT_6865,Q88,40.734282,-73.869247
212,2018-12-07 08:00:46.000,MTA NYCT_4203,Q15,40.794034,-73.798381
213,2018-12-07 08:01:01.000,MTA NYCT_6864,Q46,40.732264,-73.767577
214,2018-12-07 08:01:12.000,MTA NYCT_6869,Q88,40.734338,-73.86845
215,2018-12-07 08:01:10.000,MTA NYCT_6868,Q27,40.754119,-73.809371
216,2018-12-07 08:01:13.000,MTA NYCT_4207,Q15A,40.781802,-73.814123
217,2018-12-07 08:01:00.000,MTA NYCT_6870,Q2,40.706707,-73.762321
218,2018-12-07 08:01:05.000,MTA NYCT_4211,Q16,40.790069,-73.781871
219,2018-12-07 07:59:31.000,MTA NYCT_6874,Q83,40.701265,-73.764887
220,2018-12-07 08:01:03.000,MTA NYCT_4212,Q76,40.714606,-73.775646
221,2018-12-07 08:01:02.000,MTA NYCT_6873,Q88,40.741793,-73.842337
222,2018-12-07 08:00:54.000,MTA NYCT_6872,Q88,40.725774,-73.740414
223,2018-12-07 08:01:04.000,MTA NYCT_7307,B41,40.640638,-73.955775
224,2018-12-07 08:01:02.000,MTA NYCT_7306,B44,40.673341,-73.950174
225,2018-12-07 08:01:11.000,MTA NYCT_7305,B49,40.680828,-73.955587
226,2018-12-07 08:00:51.000,MTA NYCT_349,Bx46,40.818989,-73.901905
227,2018-12-07 08:00:50.000,MTA NYCT_7304,B49,40.59975,-73.951477
228,2018-12-07 08:01:09.000,MTA NYCT_7309,B41,40.619144,-73.933083
229,2018-12-07 08:00:47.000,MTA NYCT_344,Bx11,40.830084,-73.886348
230,2018-12-07 08:01:06.000,MTA NYCT_342,Bx32,40.868432,-73.901679
231,2018-12-07 08:01:10.000,MTA NYCT_348,Bx36,40.828543,-73.860752
232,2018-12-07 08:00:54.000,MTA NYCT_340,Bx32,40.864339,-73.899842
233,2018-12-07 08:00:17.000,MTA NYCT_7314,B41,40.62011,-73.908211
234,2018-12-07 08:00:58.000,MTA NYCT_7313,B44,40.680914,-73.953413
235,2018-12-07 08:01:11.000,MTA NYCT_7311,B46,40.673109,-73.930711
236,2018-12-07 08:00:52.000,MTA NYCT_338,Bx36,40.845241,-73.922548
237,2018-12-07 08:01:10.000,MTA NYCT_339,Bx32,40.856676,-73.904948
238,2018-12-07 08:00:48.000,MTA NYCT_4269,S79-SBS,40.613094,-74.028418
239,2018-12-07 08:00:59.000,MTA NYCT_332,Bx27,40.806197,-73.849747
240,2018-12-07 08:00:40.000,MTA NYCT_333,Bx31,40.895276,-73.863312
241,2018-12-07 08:00:52.000,MTA NYCT_336,Bx11,40.825473,-73.891127
242,2018-12-07 08:01:02.000,MTA NYCT_335,Bx36,40.848836,-73.890277
243,2018-12-07 08:01:05.000,MTA NYCT_4271,S79-SBS,40.621603,-74.028849
244,2018-12-07 08:00:42.000,MTA NYCT_4272,S79-SBS,40.60182,-74.059265
245,2018-12-07 08:00:55.000,MTA NYCT_7303,B38,40.693623,-73.931627
246,2018-12-07 08:01:09.000,MTA NYCT_4277,S79-SBS,40.598764,-74.078265
247,2018-12-07 08:01:12.000,MTA NYCT_7302,Q58,40.739106,-73.852787
248,2018-12-07 08:01:13.000,MTA NYCT_7301,B54,40.69998,-73.910527
249,2018-12-07 08:01:04.000,MTA NYCT_7300,Q54,40.713754,-73.919844
250,2018-12-07 08:00:42.000,MTA NYCT_329,Bx36,40.848762,-73.901017
251,2018-12-07 08:01:04.000,MTA NYCT_327,Bx11,40.837875,-73.900485
252,2018-12-07 08:00:46.000,MTA NYCT_4257,S79-SBS,40.571802,-74.10831
253,2018-12-07 08:00:48.000,MTA NYCT_328,Bx11,40.836479,-73.898796
254,2018-12-07 08:01:03.000,MTA NYCT_322,Bx36,40.850224,-73.914945
255,2018-12-07 08:00:56.000,MTA NYCT_320,Bx36,40.851429,-73.895468
256,2018-12-07 08:01:05.000,MTA NYCT_325,Bx32,40.809706,-73.928371
257,2018-12-07 08:01:09.000,MTA NYCT_323,Bx35,40.831529,-73.9073
258,2018-12-07 08:01:02.000,MTA NYCT_324,Bx11,40.84017,-73.925221
259,2018-12-07 08:01:06.000,MTA NYCT_4266,S79-SBS,40.563386,-74.116795
260,2018-12-07 08:00:22.000,MTA NYCT_4267,S79-SBS,40.603949,-74.052537
261,2018-12-07 08:00:48.000,MTA NYCT_4264,S79-SBS,40.577549,-74.102671
262,2018-12-07 08:00:56.000,MTA NYCT_4265,S79-SBS,40.616581,-74.026808
263,2018-12-07 08:01:07.000,MTA NYCT_318,Bx8,40.847312,-73.849255
264,2018-12-07 08:01:00.000,MTA NYCT_4249,S79-SBS,40.558524,-74.169357
265,2018-12-07 08:01:13.000,MTA NYCT_4246,S79-SBS,40.622673,-74.028402
266,2018-12-07 08:01:09.000,MTA NYCT_316,Bx21,40.825725,-73.907208
267,2018-12-07 08:01:09.000,MTA NYCT_4247,S79-SBS,40.621732,-74.028798
268,2018-12-07 08:01:09.000,MTA NYCT_317,Bx8,40.857849,-73.856513
269,2018-12-07 08:00:56.000,MTA NYCT_311,Bx21,40.851232,-73.845642
270,2018-12-07 08:01:10.000,MTA NYCT_314,Bx32,40.835567,-73.912737
271,2018-12-07 08:00:51.000,MTA NYCT_315,Bx31,40.84084,-73.84139
272,2018-12-07 08:00:57.000,MTA NYCT_4251,S79-SBS,40.595631,-74.085966
273,2018-12-07 08:00:45.000,MTA NYCT_4250,S79-SBS,40.56697,-74.113161
274,2018-12-07 08:01:09.000,MTA NYCT_4256,S79-SBS,40.559576,-74.12392
275,2018-12-07 08:01:14.000,MTA NYCT_4254,S79-SBS,40.596341,-74.085668
276,2018-12-07 08:00:48.000,MTA NYCT_6812,B65,40.682615,-73.977929
277,2018-12-07 08:00:57.000,MTA NYCT_6810,Q56,40.703576,-73.799624
278,2018-12-07 08:00:52.000,MTA NYCT_6816,Q24,40.688427,-73.920247
279,2018-12-07 08:01:08.000,MTA NYCT_6815,B17,40.626965,-73.900355
280,2018-12-07 08:01:14.000,MTA NYCT_6814,Q24,40.678168,-73.903356
281,2018-12-07 08:01:08.000,MTA NYCT_6819,Q56,40.703228,-73.800571
282,2018-12-07 08:01:05.000,MTA NYCT_6818,Q24,40.700353,-73.808364
283,2018-12-07 08:01:03.000,MTA NYCT_6817,B12,40.669572,-73.917062
284,2018-12-07 08:00:46.000,MTA NYCT_2453,X27,40.611789,-74.035286
285,2018-12-07 08:00:57.000,MTA NYCT_2460,X28,40.621506,-74.02133
